[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
[FEMALE] was almost out of gas on a desert highway .|||she saw a gas station in the distance and started to drive towards it . as she got closer she could see that the gas station was closed [MALE] wants to move to a new house because he is tired of their current one . his wife [FEMALE] does not want to move because she likes their current house . [MALE] convinces her to look at a couple new houses . she does not see any that she likes . [FEMALE] refuses to move.female .
[NEUTRAL] was out to dinner with his girlfriend .|||he had ordered a steak . the waitress brought out a lobster instead . [NEUTRAL] was excited . he had never had lobster before . his girlfriend was not happy . she said she did n't like lobster .
[MALE] was buying groceries .|||[MALE] was buying groceries when he saw his neighbour [FEMALE] . they waved at each other , and [MALE] asked [FEMALE] how she was doing . [FEMALE] said she was doing well , but she was moving soon and she was sad about it . [MALE] told her he was moving too , but his wife did n't want to move . [FEMALE] said she did n't see any houses she liked , and [MALE] told her he had convinced his wife to look at a .
[FEMALE] decided to bathe her cat .|||[FEMALE] filled up the bathtub with warm water and placed her cat inside . she waited for a few minutes before the cat emerged . the cat was clean and happy .
[MALE] has been married to his wife for 20 years .|||[MALE] has been married to his wife for 20 years . they have two children , a boy and a girl . they are both teenagers now . [MALE] has always been a stay-at-home dad , while his wife has worked . recently , his wife has been asking him to move with her to a new house . she says that she 's been wanting to move for a while now , and that it 's time for them to start a new chapter in their lives .
[MALE] wanted to drive his motorcycle .|||[MALE] was talking to his friend [FEMALE] about how he wanted to drive his motorcycle . [FEMALE] told him that he should learn how to drive it before he buys it . [MALE] told her that he was going to take a motorcycle driving course .
bridgette and [MALE] were in a ballroom dancing class together .|||bridgette was a beginner and [MALE] was more advanced . he always tried to help her when they danced together . she always looked up to him as a role model .
ken is a dj for a club .|||one night , one of the regulars came up to him and said she wanted to dance . ken played her a slow song and they danced together all night .
[NEUTRAL] was visiting her grandmother .|||[NEUTRAL] was visiting her grandmother in the nursing home . she was sitting in the common room , watching tv . her grandmother was sitting in a wheelchair next to her .
[NEUTRAL] decides to take a nice walk around the block .|||[NEUTRAL] walks around the block a few times . he starts to feel a little better . he decides to go back home . he walks in the door and his wife [FEMALE] asks him where he 's been .
[MALE] wanted to be healthier .|||[MALE] tried a bunch of different diets but he never could stick to them . then one day he saw an infomercial for a fitness program . he decided to try it and it worked for him .
[FEMALE] is going on her first date .|||[FEMALE] is nervous about her date . she has never been on a date before . she is not sure what to wear or what to do . she asks her best friend for advice .
roger had an interest in gemstones .|||roger was fascinated by the way they were formed . he loved the way they shone and the different colours they could be . he would spend hours looking at them in the jewellery shop windows .
[MALE] wanted to travel .|||[MALE] thought about traveling the world . he wanted to see new places and meet new people . he knew he would need money to do this . so he started to save his money .
[MALE] 's grandparents bought him some drums .|||[MALE] was excited to get his new drums . he could n't wait to start learning how to play them . his grandparents were excited too . they knew [MALE] would love learning how to play the drums .
koya left her jacket at school .|||she was cold so she went back to get it . the office was closed so she had to go through the school . she saw a janitor and asked him if he could open the office for her . he said no and she had to go back to her house without her jacket .
[FEMALE] was on vacation .|||she was in the middle of nowhere and needed to find a way to get back to civilization . she found a payphone and called her friend to come and pick her up .
we went to the zoo together .|||the zoo was a lot of fun . we saw all sorts of animals , and i even got to feed a giraffe . my favorite part was the lions . they were so big and fierce .
[FEMALE] was playing in the grass .|||a cool breeze blew through the field , making the tall grass ripple . [FEMALE] smiled and giggled as she ran through the field , picking flowers along the way . she picked a few wildflowers and put them in her hair .
i was referred to a specialist for chronic abdominal pain .|||the specialist told me that the pain was likely being caused by my gallbladder and that i needed to have it removed .
[NEUTRAL] contacted me on [FEMALE] .|||we chatted for a bit and [NEUTRAL] asked if i wanted to grab a coffee . i told him i was busy but i 'd love to catch up with him sometime .
[MALE] had a motorbike .|||[MALE] wanted to move to a new house but his wife [FEMALE] did not want to move . [MALE] convinced her to look at a couple new houses but she did not see any that she liked . [FEMALE] refused to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row . she waited in the lobby till everyone was seated . she crept in and took a seat towards the back .
[FEMALE] dad took me fishing .|||i loved going fishing with my dad . he would take me to the best spots and show me how to bait my hook . i would always catch something , even if it was just a little fish .
[MALE] recently had to take a reading test for college .|||[MALE] found the test to be difficult . the reading passages were too dense and he could not understand the questions . he felt like he was guessing on most of them .
[FEMALE] was given her cousin 's hamster when her cousin got sick of it .|||[FEMALE] was happy to get a new pet . she named it harry and took good care of it . harry grew big and strong . one day , [FEMALE] accidentally left the door to harry 's cage open and he ran away .
[MALE] got new shoes .|||[MALE] got new shoes and he was excited to show them to his friends . he went to the park and saw that they were all playing basketball . [MALE] wanted to join in , but he did n't want to mess up his new shoes . he decided to wait for a while until they were done playing .
[FEMALE] was asleep in bed , tossing and turning .|||she could not get the image of the car accident out of her mind . she replayed the scene over and over again in her head . eventually she calmed down and fell asleep .
i went on a trip to the zoo .|||i went on a trip to the zoo with my family . we had a lot of fun looking at all the animals . my favorite part was when we got to see the lions . they were so big and powerful ! .
the boy cried .|||the boy cried because he was sad and scared . his parents were getting a divorce and he did n't know what was going to happen to him . he was going to have to leave his home and his friends and move to a new house . his mother said that he could choose where he wanted to live , but his father said that he had to live with him . the boy did n't know what to do .
yara could n't wait for the christmas holiday .|||she had all of her gifts ready to go . she loved to wrap presents . she always took her time to make them look pretty . she was so excited to spend time with her family .
[NEUTRAL] and his family went to the local town fair one [NEUTRAL] .|||[NEUTRAL] had a great time going on all the rides with his family . his favourite was the ferris wheel because he could see the whole fair from up high . he also liked the tilt-a-whirl because it made him feel dizzy .
[FEMALE] wife retired from work in [MALE] .|||[MALE] wants to move to a new house but his wife [FEMALE] does not want to move . [MALE] convinces her to look at a couple new houses . she does not see any that she likes . [FEMALE] refuses to move . [FEMALE] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row . she waited in the lobby till everyone was seated . she crept in and took a seat towards .
last month [MALE] got a new project car .|||last month [MALE] got a new project car . it 's a 1971 chevrolet camaro . he 's been working on it every day since he got it , and it 's finally starting to look like it did when it was first manufactured . he 's put a lot of time and effort into it , and he 's really excited to show it off to his friends .
[FEMALE] niece recently got engaged .|||[FEMALE] is happy for her niece but she is worried about the cost of the wedding . she knows that the bride and groom are trying to save money but she does n't want them to have to skimp on anything important .
[MALE] was a food lover .|||[MALE] loved to try new foods . he would see a dish on a menu and he would order it . even if he had no idea what it was . one day , he ordered a seafood dish . he did not know how to eat it so he asked the waiter for help .
[MALE] always wanted to play an instrument .|||he never had the chance to learn one in school . so he taught himself how to play the guitar by watching youtube videos . now he plays at open mic nights in the city .
[MALE] had a crush on a girl in class .|||[MALE] wanted to ask her out but he was too shy . he decided to write her a letter instead . he poured his heart out in the letter and asked her to be his girlfriend . she said yes and they started dating .
the man asked his wife a question .|||the man asked his wife if she wanted to move to a new house . she said she did n't want to move , but he convinced her to look at a couple new houses . they did n't see any that she liked , so she refused to move .
the smoke was beginning to get to me .|||the smoke was beginning to get to me . it was making it hard to breathe . i was getting a headache from the smell . i had to get out of there .
[MALE] had a big game coming up .|||[MALE] was nervous because he had never played in front of that many people before . his coach told him to picture the audience in their underwear . that made him laugh and he was able to play his best game .
[FEMALE] was going to be late for her first day at work .|||she woke up late and could not find her dress . she had to go to work in her pajamas . she was really embarrassed when she got there .
[FEMALE] took her son to the mall .|||[FEMALE] took her son to the mall to buy a new video game . he saw a toy truck and begged her to buy it for him . she told him that he could have it if he saved up his money and bought it himself . he was so excited that he ran to the toy store and bought it with his own money .
[FEMALE] wife 's grandniece is 18 .|||[FEMALE] 's wife 's grandniece is 18 years old . she is very excited to be a part of the family , and is looking forward to spending time with her new relatives . however , [FEMALE] 's wife is not sure if she is ready to have her around all the time . she is worried that her grandniece will be too rowdy and disruptive .
the day of the big football game the star player gets sick .|||the coach is frantic . he does n't know who to put in . he finally decides to put in the new guy who has never played before . the new guy does great and the team wins .
[FEMALE] daughter , [FEMALE] , planned to attend her school dance .|||[FEMALE] daughter was very excited to attend her school dance . she had been looking forward to it for weeks . she spent hours picking out the perfect dress and shoes . the night of the dance , she got ready with her friends . when it was time to leave , her father drove her to the school .
i was supposed to sing at a concert .|||i was really nervous about singing in front of all those people . i had never done anything like that before . i was so scared that i almost did n't go on stage . but i 'm glad i did . it was a lot of fun .
[NEUTRAL] is a star runner .|||he always loved running , and it came naturally to him . in high school , he was one of the top runners on the track team . he continued to run in college , and eventually he started competing in marathons . now , he 's a star runner who always wins .
[MALE] was terrible at making costumes .|||[MALE] always tried to make his costumes himself for the school plays . but they were always terrible . one year , his friends got together and made him a costume . it was a simple costume but it looked great on him .
when i was a kid , st [MALE] 's day was my favorite holiday .|||when i was a kid , st. patrick 's day was my favorite holiday . my mom would always make this amazing dinner with irish food and drink , and we would all dress up in green and watch the parade . it was so much fun ! .
i was in an eating contest .|||i was in an eating contest . i was one of the finalists . i was up against a guy who was really huge . i was so nervous . i did n't think i could win . but i did .
[NEUTRAL] loved the outdoors .|||he would go camping and hiking with his friends . they would always bring a lot of food so they could cook over the campfire . [NEUTRAL] never went on these trips anymore because his friends all moved away .
[FEMALE] wanted the best formula for her newborn baby .|||she asked her friends and family for their opinions but she was still unsure . she did some research online and found the perfect one .
[MALE] took his car to the drag strip .|||[MALE] 's car was a beast . it was a racecar that he had built himself . he had the fastest car at the drag strip . when he raced , the other drivers were just a blur .
[MALE] was sleeping .|||[MALE] was sleeping when he heard a loud crash . he woke up and saw that his daughter [FEMALE] had fallen out of her bed . he picked her up and put her back in bed . he told her to stay in bed and not to move .
i always look forward to the weekends .|||friday night i ca n't wait to go out with my friends . saturday morning i love sleeping in and then going for a long walk . saturday night i ca n't wait to see my favourite band play live . and then sunday morning i love getting up early and going to church .
[FEMALE] loved going horseback riding .|||one day , [FEMALE] met a man who said he could teach her how to ride a horse . she was skeptical at first , but she decided to go for it . after a few lessons , she was able to ride a horse on her own . she loved the feeling of the wind blowing through her hair while she was on horseback .
[FEMALE] friend and i bet my [MALE] could n't follow his jeep off road .|||my friend and i bet my husband could n't follow his jeep off road . we were right - he got lost within minutes .
[MALE] tried a new hair style .|||[MALE] was feeling adventurous . he decided to try a new hair style . he had always kept his hair short but he wanted to try something new . he had seen a picture of a man with long hair and he liked the way it looked . he went to the barber and asked for the same style .
[MALE] needed his laundry done .|||[MALE] needed his laundry done and he did not have any machines in his new apartment . he found a laundromat nearby and took his clothes there .
the neighbor 's dog had been missing for days .|||the neighbor 's dog had been missing for days . the neighbor put up flyers all around the neighborhood , but no one had seen the dog . one day , the neighbor found the dog in his backyard , hiding under a bush .
[MALE] traveled to [NEUTRAL] on business .|||the meeting went very well and [MALE] was able to get a lot of work done while he was there . he did have a little bit of free time and he managed to see some of the sights . he was impressed with how beautiful [NEUTRAL] was and he would love to come back and visit one day .
[MALE] went out to eat one night .|||he had a great time catching up with his old friend . but the best part was the food . the restaurant was known for its amazing dishes .
[MALE] is having his favorite coffee from starbucks .|||[MALE] takes a sip of his coffee and starts to think about his day . he has a meeting with his boss at 10am and he 's not sure if he can make it . he also has to pick up his daughter from school at 3pm . he hopes everything goes well .
[MALE] had missed two basketball practices .|||[MALE] told his coach that he had to miss the practices because he had to work . the coach told [MALE] that he could not play in the next game . [MALE] 's parents found out and they got mad at the coach .
the ice cream [MALE] was eating had started to melt .|||he licked the drips off his fingers . he knew that he should n't but he could n't help it . the ice cream was just too good .
[FEMALE] husband was n't feeling well .|||[FEMALE] decided to take a day off from work to take care of her husband . she stayed in bed with him all day and watched movies . he got better in the evening and she went back to work the next day .
[MALE] wanted to lose weight .|||[MALE] cut out all junk food and exercised every day . it worked for a while but he got really bored of the same routine . he started eating junk food again and he gained all the weight back .
the kids had fun in the sun today .|||the kids ran around and played tag . they also built a sandcastle . later , they went in the pool and swam for a while . when they were tired , they all went inside and played some more games .
[MALE] turned 21 and his friends took him out to a bar .|||[MALE] was excited to drink alcohol legally . his friends bought him a beer and he chugged it down . he was so drunk that he could n't walk . he fell asleep in the gutter and his friends left him there .
[MALE] ran out of deodorant .|||[MALE] went to the store and bought a new can of deodorant . as he was walking out of the store , he saw a guy selling razors . [MALE] bought a razor and some blades .
[MALE] was diagnosed with cancer .|||[MALE] did n't want to tell his family . he was scared that they would be upset and he did n't want to deal with their pity . one day he called his sister and told her . she was crying and so was he by the time they hung up .
[NEUTRAL] took forever deciding on a color to paint his bedroom .|||he finally decided on a light blue , but when he started painting , he hated it . he ended up painting over it and going with a darker blue .
[MALE] is an aspiring singer .|||[MALE] has always loved singing . he 's tried to pursue it as a career but he 's had a lot of rejections . his friends and family are supportive but they do n't think he has what it takes to make it . [MALE] is determined to prove them wrong .
i put on my warmest pajamas .|||the wind was howling and the snow was coming down hard , but i did n't care . i put on my warmest pajamas and crawled into bed . i was so cozy and warm that i fell asleep within minutes .
the kids played at the pool .|||the kids played in the pool and the parents sat in the sun and talked . the kids got hungry and thirsty so the parents ordered some food and drinks . the kids played in the pool and the parents sat in the sun and talked . the kids got hungry and thirsty so the parents ordered some food and drinks .
[MALE] was going blind over time .|||[MALE] slowly lost his vision over a period of time . he did n't know how to deal with the fact that he was going blind and his wife [FEMALE] was having a hard time seeing him like that . one day , [MALE] decided that he wanted to move to a new house . his wife [FEMALE] did not want to move , but [MALE] convinced her to look at a couple new houses . unfortunately , she did not see any that she liked . [FEMALE] refused .
[FEMALE] was at the park .|||she was with her friends and they were playing tag . [FEMALE] was 'it ' and she was running to catch up with them when she tripped on a rock and fell .
[MALE] pulled out of a parking lot .|||[MALE] pulls out of a parking lot and notices a police officer signaling him to pull over .
[MALE] bought new running shoes .|||[MALE] started running to lose weight and get in shape . he ran every day for six months but did n't lose any weight . he decided to stop running because he was n't seeing any results .
[MALE] went to the drive-in with his friends on [FEMALE] .|||[MALE] and his friends were all piled into his car and they were off to the drive-in . [FEMALE] was not too thrilled about going , but she went along with it . they arrived and everyone piled out of the car . [MALE] and his friends all went to get food , and [FEMALE] stayed in the car . after a while , [FEMALE] got out of the car to go get food too .
ken had an old shirt he loved wearing .|||ken had an old shirt he loved wearing . it was a little too small for him now but he still wore it all the time . one day , ken 's mum asked him to wash it for her . ken tried to put it in the washing machine but it would n't fit . he had to wash it by hand and it took him all day .
[MALE] is a photographer for a local newspaper .|||[MALE] was photographing a house that was for sale . he was taking pictures of the inside and outside of the house . the real estate agent came outside to see what he was doing . she was not happy with the way he was taking pictures .
[MALE] was doing laundry .|||[MALE] heard a knock on the door . he went to answer it and found [FEMALE] on the other side . she was holding a basket of laundry and asked if he could help her fold it .
[FEMALE] saw a purse online that she really wanted .|||she could not afford the $ 200 price tag . she found the same purse on clearance for $ 40 . she was so excited that she bought it without thinking twice .
[MALE] found a wallet in the men 's bathroom at school .|||[MALE] opened it and found that it was full of cash . he took the cash out and put the wallet back in the bathroom . he went to the principal 's office and turned it in .
[FEMALE] bought herself a new dress .|||she loved the dress but she did n't want to wear it to the party . she wanted to save it for a special occasion . she wore it to the party and she had a great time .
[MALE] was at the grocery store .|||he needed to buy some milk and eggs . he also wanted to get some snacks for the game he was going to watch that night . he was looking for something salty and something sweet .
[NEUTRAL] loved the nfl .|||he loved the strategic aspect of the game and the athleticism of the players . he could watch hours of games and never get bored .
[FEMALE] is at disneyland with her boyfriend .|||[FEMALE] is really excited to go on the disneyland rides . her boyfriend is a little more hesitant . he 's worried that he 's going to get sick on the rides . [FEMALE] reassures him that he 'll be fine and that she 'll protect him .
[MALE] was rowing his boat on a lake .|||[MALE] saw a storm cloud in the distance . he knew he had to get back to shore before the storm hit . he rowed as fast as he could but the storm caught up to him . the boat capsized and he was thrown into the lake .
[FEMALE] and her friends were checking into their hotel in [NEUTRAL] .|||[FEMALE] and her friends were checking into their hotel in [NEUTRAL] . she was excited to spend the weekend exploring the city , but she was a little worried about the room . she had heard that the rooms in [NEUTRAL] could be a little small . but when she saw her room , she was surprised . it was much bigger than she expected .
the radio announced schools will be closed .|||parents were scrambling to make last minute arrangements for their children . many were left stranded at the bus stop . one woman , mother , waiting for her son , saw a man , father , with his children . she offered to help him and they both waited for the bus .
[FEMALE] husband graduated in the 80s .|||[FEMALE] 's husband graduated from college in the 80s . he had a lot of student loan debt and could n't find a job in his field , so he started working at a grocery store . [FEMALE] 's husband has always been a hard worker , and he 's been at the grocery store for over 20 years .
renny looked at the calendar and saw she was late for her period .|||she took a pregnancy test and it was positive . she was happy and scared at the same time . she did n't know how to tell her boyfriend .
[NEUTRAL] enjoys cooking for his family .|||one of [NEUTRAL] 's favorite things to do is cook for his family . he loves trying new recipes and seeing the reactions of his loved ones when they take their first bite . cooking is a way for him to show his loved ones how much he cares for them .
[FEMALE] wanted to go to her mom 's house out of town for the summer .|||her mom said she could come but only if she helped out around the house . [FEMALE] agreed and packed her bags .[male] wants to move to a new house because he is tired of their current one . his wife [FEMALE] does not want to move and says that they should just stay put . [MALE] convinces her to look at a couple new houses . she does not see any that she likes . [FEMALE] refuses to move.[female] and .
[MALE] made a bad decision when he was 18 .|||[MALE] made a bad decision when he was 18 . he was young and stupid and he did n't know any better . he did n't think about the consequences of his actions and now he has to live with the consequences . he wishes he could go back in time and change things , but that 's not possible . he just has to learn from his mistakes and move on .
the army stopped for the night .|||the troops set up their tents and lit a fire . they were all exhausted from the long march . the sergeant ordered everyone to bed early . he wanted them to be well rested for the next day 's battle .
[MALE] loved his girlfriend .|||[MALE] loved his girlfriend and he wanted to spend as much time with her as possible . however , his work schedule kept him busy . [MALE] told his girlfriend that he loved her and he would make more time for her .
our cat is totally devoted to my wife .|||our cat loves to be around my wife . she always follows her around the house and sleeps next to her bed . my wife spoils her rotten and gives her lots of attention .
[FEMALE] wanted to carve pumpkins with her family .|||she found some great patterns online . she gathered the family together and they got to work . it was a lot of fun and they all had a great time .
there were a lot of rats in my house .|||my family did n't want to live there anymore . we had to get an exterminator to get rid of them . we have n't seen any since but i 'm always paranoid that one of them is hiding somewhere .
[MALE] and i tried to learn to ride a unicycle , today .|||we were both a little bit clumsy and kept falling off , but we kept trying . eventually , we managed to stay on for a few seconds at a time . it was really fun , and we laughed a lot .
i liked this girl , but i was n't sure i wanted to date her .|||one day , i mustered up the courage to ask her out . she said yes , and we 've been together ever since .
[FEMALE] teacher came into class .|||all eyes turned to [FEMALE] teacher as she walked into the room . she began to speak , but most students were too busy looking around to pay attention . one student , however , was not distracted . [NEUTRAL] sat in the back of the room , paying close attention to everything the teacher said .
[MALE] and his wife were having trouble .|||[MALE] and his wife were having trouble conceiving a child . they went to a fertility clinic and the doctors told them that the problem was [MALE] . [MALE] had a low sperm count .
aj met his wife [FEMALE] in [FEMALE] .|||aj met his wife in college . they were in the same accounting class . she was really smart and he thought she was out of his league . but he asked her out and they started dating .
[MALE] was an inventor , but he was n't having much luck .|||he had a great idea for a new kind of alarm clock but he could n't get it to work . he tried and tried but it just would not work . one day , he was talking to his friend [FEMALE] about it and she had an idea .
[FEMALE] decided to drive to her family home in [NEUTRAL] for christmas .|||[FEMALE] had always wanted to see the northern lights . she thought they would be more visible in [NEUTRAL] . she was n't disappointed . the lights were so bright that she could see them from her car .
[MALE] was driving home .|||[MALE] was driving home from work when he got a call from his wife . she said that she had been looking at houses online and found a couple that she wanted him to look at . [MALE] told her that he would be home in a few hours and that he would look at them with her . when he got home , his wife had already made dinner and they went online to look at the houses . unfortunately , they did n't find any that they liked and [MALE] 's wife refused .
i was so tall that i did n't fit my hospital bed .|||i was so tall that i did n't fit my hospital bed . i was in the hospital for a few weeks after i had my baby and i was so big that i did n't fit in the bed . i had to sleep in a chair next to the bed . my husband would come and stay with me every night and he would sleep in the chair .
[FEMALE] ran a newspaper in town .|||[FEMALE] ran a newspaper in town . it was a small town , and she was the only one who published a paper . she enjoyed it , but it was a lot of work .
[NEUTRAL] was always very grumpy .|||one day , his wife had had enough . she told him that if he was going to be so grumpy all the time , he could just move out . [NEUTRAL] did n't want to move , but he knew that he needed to do something to make his wife happy . so he agreed to look at a few new houses with her . but even after they looked at a few houses , she still did n't see any that she liked . finally , she said that she refused to move .
[FEMALE] noticed a bird 's nest by her bedroom window .|||[FEMALE] knew that the mother bird would be back soon to care for her eggs . she watched the nest every day and saw the mother bird bring food to her babies . she was so excited when she saw the mother bird start to push her babies out of the nest .
i bought a new drum set the other day .|||i was so excited to get it home and set it up . but when i got there , i realized that i did not have enough space to set it up in my room .
[MALE] had a young son .|||[MALE] wanted to move to a new house with his wife [FEMALE] . [FEMALE] did not want to move , but [MALE] convinced her to look at a couple new houses . they did not see any that they liked , and [FEMALE] refused to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row , so she waited in the lobby till everyone was seated . she crept in .
[MALE] and [MALE] were playing cards .|||[MALE] and [MALE] were playing cards . [MALE] was dealt a bad hand . [MALE] was getting angry . [MALE] started to flip the table .
[MALE] loved gymnastics .|||[MALE] loved gymnastics . he was never the best at it , but he loved going to the gym and trying new things . one day , he saw a flyer for a gymnastics competition . he decided to enter , and surprisingly , he won first place ! .
[FEMALE] was trying to figure out how to play a song .|||[FEMALE] was trying to figure out how to play a song on the guitar . she found a tutorial online , but she was having trouble following it . she eventually gave up and put the guitar away .
[FEMALE] was a freshman in high school .|||[FEMALE] was a freshman in high school . she was in the library one day , studying for an upcoming test , when she saw a group of seniors walk in . she did n't think much of it at first , but then she saw one of the seniors , [MALE] , walk up to her and kiss her . she was shocked and did n't know what to do .
i felt terrible for fearing the new neighbor who was deaf and ill .|||i felt terrible for fearing the new neighbor who was deaf and ill . i imagined all of the horrible things that could happen because i was n't able to communicate with her . i would knock on her door to introduce myself , and she would n't be able to hear me . i would have to mime that i needed to come in , and then she would get sick and i would have to take care of her .
[FEMALE] friend has some beavers in his backyard .|||[FEMALE] 's friend has some beavers in his backyard . he 's been trying to get rid of them for years , but they keep coming back . he 's tried poison , traps , and even a gun , but nothing has worked . [FEMALE] suggests he call a trapper .
[FEMALE] and [MALE] went to the forest for a hike .|||the hike was beautiful , but it was also really tough . the trail was really steep and the terrain was rocky . [FEMALE] and [MALE] had to take a break every few minutes to catch their breath .
[NEUTRAL] was cleaning her house .|||she was in the kitchen when she heard a knock at the door . she opened it to find a man standing there with a package . she signed for it and shut the door . she took the package into the kitchen and opened it .
[FEMALE] was in her kitchen eating breakfast .|||she was eating a piece of toast and some cereal . she had the tv on and was watching the news . she heard a knock on the door . she got up to answer it .
[FEMALE] had just went through a nasty breakup .|||[FEMALE] had just gone through a nasty breakup . she was so depressed that she did n't want to leave her apartment . her best friend [MALE] came over to her apartment and convinced her to go out . they went to a bar and [FEMALE] had a few drinks . she started to feel better and they ended up going home together .
[MALE] was hungry .|||[MALE] was hungry , so he went to the fridge to get a snack . however , the fridge was empty , so [MALE] went to the grocery store to buy some food .
[MALE] needed to get to work .|||[MALE] took the bus but it was late . he called his boss and told him the situation . his boss told him to take a cab .
[MALE] became a mailman .|||[MALE] became a mailman to support his family . he loved the job because it allowed him to be outside and he enjoyed interacting with the people in his neighborhood .
[MALE] did n't know how to swim .|||[MALE] did n't know how to swim , so he always stayed on the shore when he went to the beach with his friends . one day , his friends dared him to go into the water . [MALE] did not want to look like a wimp , so he went into the water and started swimming .
[FEMALE] had her baby in her stroller .|||[FEMALE] was pushing her baby in the stroller when she saw a group of teenagers walking towards her . one of the boys bumped into the stroller , and [FEMALE] quickly wheeled her child away .
i was in a hot dog cooking contest at a family reunion .|||my aunt was the one who got me into it . she always cooks the best hot dogs and she thought i could win . i did n't know how to cook a hot dog , but i followed her recipe and i won ! .
i got a job as a fast food cashier .|||my first day on the job , i was extremely nervous . i had no idea what to expect , or how to do the job . i was scared that i would mess up and get fired . but , i got through the day , and i was actually pretty good at it . now , i 'm not nervous anymore , and i 'm pretty comfortable with the job .
[FEMALE] wanted her own puppy very much .|||[FEMALE] 's parents would not let her have a puppy . she begged and pleaded but they would not change their minds . she started to cry and said she would never speak to them again . her parents finally gave in and said she could have a puppy but she had to take care of it .
i could no longer feel hunger .|||for a while , i could not feel hunger . i did not know if it was a good thing or not , but i was just going with the flow . however , eventually my body realized that it needed food and i started to feel hunger again .
[MALE] was nervous to go rafting .|||[MALE] had never been rafting before and was nervous about it . he had heard that it could be a dangerous activity if you were not experienced . his friends told him that it was a lot of fun and he should go for it .
our fig bush is getting big .|||we need to get a bigger pot .
it is almost time for school to begin .|||the mother of two young children was packing up their backpacks with school supplies the night before school started . she was trying to get them excited for the new school year , but they were not very enthusiastic . `` mom , ca n't we just stay home ? '' they whined . she tried to explain to them that school is a very important part of their lives , but they did not want to listen . `` okay , okay , '' she said . `` i 'll try to get the school to let .
[MALE] went to eat at a diner .|||the diner was very crowded . [MALE] had to wait a long time for a table . he saw a table for two that was free and he went to sit down . the waitress came over and she told him that the table was for two people and she asked him to leave .
[MALE] and [FEMALE] went to see a new movie .|||the movie was very exciting . [MALE] and [FEMALE] were on the edge of their seats the whole time . they loved it and ca n't wait to see it again .
[MALE] always wanted his own fish tank .|||[MALE] talked to his parents about it and they said they would get him one for his birthday . [MALE] was so excited and he could not wait to get home from school to start cleaning it .
[MALE] was giving a speech to his followers .|||[MALE] : my friends , i am here to tell you that i am stepping down as your leader . i know that someone new can take my place and lead you to victory .
it was really hot in my room .|||i tried to open the window but it was stuck . i turned on the fan but it did n't make a difference . i took my clothes off and put them on the floor . i got in the shower but it was still hot .
the money for the new house was placed in an escrow account .|||[MALE] and [FEMALE] have been married for a few years and they are now looking to move to a new house . [FEMALE] does not want to move , but [MALE] convinces her to look at a couple new houses . however , she does not see any that she likes and [FEMALE] refuses to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row , so she waited .
i had a nightmare the other night .|||i was at my grandma 's funeral and it was so crowded . i could n't find a seat so i had to stand up in the back . then the funeral started and the casket started to move and everyone started to scream . i woke up in a sweat .
[MALE] was a restaurant chef .|||he specialized in italian food , and he made the best pizza in the city . he always used the best ingredients , and he made the dough himself .
